crash_date,latitude,longitude,num_of_cyclist_injured
2023/02/19 00:00:00.000,40.80275,-73.93358,1
2023/02/19 00:00:00.000,40.780754,-73.95258,1
2023/02/19 00:00:00.000,40.72293,-73.98865,1
2023/02/20 00:00:00.000,40.723366,-73.99571,1
2023/02/20 00:00:00.000,40.81401,-73.94466,1
2023/02/21 00:00:00.000,40.779434,-73.94752,1
2023/02/21 00:00:00.000,40.771385,-73.95648,1
2023/02/21 00:00:00.000,40.769226,-73.98477,1
2023/02/21 00:00:00.000,40.784943,-73.946594,1
2023/02/22 00:00:00.000,40.844135,-73.93752,1
2023/02/22 00:00:00.000,40.799576,-73.935905,1
2023/02/22 00:00:00.000,40.86357,-73.92602,1
2023/02/23 00:00:00.000,40.77408,-73.9568,1
2023/02/23 00:00:00.000,40.719970000000004,-73.992905,1
2023/02/23 00:00:00.000,40.72388,-73.98209,1
2023/02/25 00:00:00.000,40.769062,-73.96112,1
2023/02/25 00:00:00.000,40.717724,-73.98577,1
2023/02/25 00:00:00.000,40.724228,-74.00423,1
2023/02/26 00:00:00.000,40.75898,-73.99595,1
2023/02/26 00:00:00.000,40.75927,-73.980896,1
2023/02/27 00:00:00.000,40.77178,-73.9792,1
2023/02/27 00:00:00.000,40.820095,-73.955086,1
2023/02/28 00:00:00.000,40.767242,-73.986206,1
2023/02/28 00:00:00.000,40.740185,-73.986374,1
2023/02/28 00:00:00.000,40.74102,-73.97862,1
2023/02/28 00:00:00.000,40.745285,-73.98874,1
2023/03/01 00:00:00.000,40.756767,-73.98272,1
2023/03/01 00:00:00.000,40.790813,-73.976456,1
2023/03/01 00:00:00.000,40.808839999999996,-73.96582,1
2023/03/01 00:00:00.000,40.825905,-73.94712,1
2023/03/02 00:00:00.000,40.84706,-73.93818,1
2023/03/02 00:00:00.000,40.713055,-74.00723,1
2023/03/03 00:00:00.000,0,0,1
2023/03/03 00:00:00.000,40.770527,-73.98012,1
2023/03/03 00:00:00.000,40.746403,-73.97973,1
2023/03/03 00:00:00.000,40.75533,-73.99119,1
2023/03/04 00:00:00.000,40.763374,-73.99647,1
2023/03/04 00:00:00.000,40.792362,-73.96418,1
2023/03/04 00:00:00.000,40.785732,-73.97645,1
2023/03/04 00:00:00.000,40.758377,-73.994385,1
2023/03/04 00:00:00.000,40.860645,-73.92734,1
2023/03/04 00:00:00.000,40.770073,-73.95141,1
2023/03/05 00:00:00.000,40.766502,-73.99418,1
2023/03/05 00:00:00.000,40.80952,-73.94965,1
2023/03/06 00:00:00.000,40.76025,-73.96753,1
2023/03/06 00:00:00.000,40.734673,-73.99459,1
2023/03/06 00:00:00.000,40.793186,-73.94057,1
2023/03/06 00:00:00.000,40.752853,-73.99299,1
2023/03/07 00:00:00.000,40.734673,-73.99459,1
2023/03/07 00:00:00.000,40.771393,-73.98216,1
2023/03/07 00:00:00.000,40.74053,-73.9759,1
2023/03/07 00:00:00.000,40.72488,-74.002625,1
2023/03/07 00:00:00.000,40.76422,-73.98099,1
2023/03/08 00:00:00.000,40.76431,-73.971214,1
2023/03/08 00:00:00.000,40.765614,-73.9607,1
2023/03/08 00:00:00.000,40.794464,-73.93964,1
2023/03/08 00:00:00.000,40.751835,-73.972946,1
2023/03/09 00:00:00.000,40.725643,-74.00539,1
2023/03/09 00:00:00.000,40.82523,-73.94761,1
2023/03/10 00:00:00.000,40.810173,-73.95117,1
2023/03/10 00:00:00.000,40.706707,-74.002335,1
2023/03/10 00:00:00.000,40.801865,-73.94136,1
2023/03/10 00:00:00.000,40.78663,-73.946785,1
2023/03/10 00:00:00.000,40.72224,-73.9863,1
2023/03/11 00:00:00.000,40.747894,-73.989174,1
2023/03/11 00:00:00.000,40.810417,-73.95286,1
2023/03/11 00:00:00.000,40.776318,-73.962135,1
2023/03/11 00:00:00.000,40.860645,-73.92734,1
2023/03/12 00:00:00.000,40.731136,-74.00295,1
2023/03/13 00:00:00.000,40.762962,-73.97188,1
2023/03/13 00:00:00.000,40.810944,-73.963066,1
2023/03/13 00:00:00.000,40.80333,-73.94873,1
2023/03/14 00:00:00.000,40.722816,-73.993095,1
2023/03/14 00:00:00.000,40.80521,-73.94736,1
2023/03/14 00:00:00.000,40.777905,-73.98209,1
2023/03/15 00:00:00.000,40.71983,-73.98755,1
2023/03/15 00:00:00.000,40.733032,-73.98445,1
2023/03/15 00:00:00.000,40.859325,-73.93132,1
2023/03/15 00:00:00.000,40.77428,-73.97738,1
2023/03/15 00:00:00.000,40.718143,-73.993835,1
2023/03/15 00:00:00.000,40.768032,-73.99586,1
2023/03/15 00:00:00.000,40.714382,-74.01014,1
2023/03/16 00:00:00.000,40.80117,-73.961464,1
2023/03/16 00:00:00.000,0,0,1
2023/03/17 00:00:00.000,40.805782,-73.95066,1
2023/03/17 00:00:00.000,40.743675,-73.99466,1
2023/03/17 00:00:00.000,40.710815,-73.98326,1
2023/03/17 00:00:00.000,40.719025,-73.98978,1
2023/03/17 00:00:00.000,40.771393,-73.98216,1
2023/03/18 00:00:00.000,40.759617,-73.961975,1
2023/03/18 00:00:00.000,40.761658,-73.986565,1
2023/03/18 00:00:00.000,40.808796,-73.94473,1
2023/03/18 00:00:00.000,40.748245,-73.976295,1
2023/03/19 00:00:00.000,40.74074,-73.99906,1
2023/03/19 00:00:00.000,40.744778,-73.97589,1
2023/03/19 00:00:00.000,40.73104,-73.99961,1
2023/03/19 00:00:00.000,40.711906,-74.00604,1
2023/03/19 00:00:00.000,40.767563,-73.98695,1
2023/03/20 00:00:00.000,40.824184,-73.93723,1
2023/03/20 00:00:00.000,0,0,1
2023/03/20 00:00:00.000,40.743782,-73.97352,1
2023/03/20 00:00:00.000,40.742813,-73.98865,1
2023/03/20 00:00:00.000,40.717724,-73.98577,1
2023/03/20 00:00:00.000,40.771694,-73.95919,1
2023/03/20 00:00:00.000,40.77178,-73.9792,1
2023/03/20 00:00:00.000,40.760418,-73.97584,1
2023/03/21 00:00:00.000,40.719204,-73.99037,1
2023/03/21 00:00:00.000,40.746155,-73.99275,1
2023/03/21 00:00:00.000,40.817596,-73.95319,1
2023/03/21 00:00:00.000,40.72125,-73.99224,1
2023/03/21 00:00:00.000,40.76399,-73.958786,1
2023/03/22 00:00:00.000,40.72972,-73.980865,1
2023/03/22 00:00:00.000,40.749485,-73.97539,1
2023/03/22 00:00:00.000,40.803116,-73.95633,1
2023/03/22 00:00:00.000,40.866024,-73.92588,1
2023/03/23 00:00:00.000,40.789623,-73.94007,1
2023/03/23 00:00:00.000,40.780064,-73.94705,1
2023/03/23 00:00:00.000,40.758007,-73.96625,1
2023/03/23 00:00:00.000,40.727592,-73.9853,1
2023/03/23 00:00:00.000,40.820625,-73.95842,1
2023/03/24 00:00:00.000,40.787693,-73.94148,1
2023/03/25 00:00:00.000,40.771667,-73.9867,1
2023/03/25 00:00:00.000,40.750156,-73.97699,1
2023/03/25 00:00:00.000,40.814102,-73.940865,1
2023/03/26 00:00:00.000,40.734108,-74.004585,1
2023/03/26 00:00:00.000,40.726933,-73.99992,1
2023/03/26 00:00:00.000,40.8087,-73.95226,1
2023/03/26 00:00:00.000,40.733032,-73.98445,1
2023/03/26 00:00:00.000,40.764996,-73.976715,1
2023/03/26 00:00:00.000,40.7736,-73.98158,1
2023/03/27 00:00:00.000,40.714447,-74.0155,1
2023/03/27 00:00:00.000,40.762646,-73.97533,1
2023/03/27 00:00:00.000,40.744003,-73.99942,1
2023/03/27 00:00:00.000,40.75902,-73.9861,1
2023/03/27 00:00:00.000,40.763428,-73.99271,1
2023/03/28 00:00:00.000,40.724255,-73.98485,1
2023/03/28 00:00:00.000,40.74441,-73.972984,1
2023/03/28 00:00:00.000,40.740112,-74.00597,1
2023/03/28 00:00:00.000,40.818245,-73.93786,1
2023/03/29 00:00:00.000,40.850414,-73.93455,1
2023/03/29 00:00:00.000,40.800507,-73.938156,1
2023/03/30 00:00:00.000,40.78294,-73.948044,1
2023/03/30 00:00:00.000,40.794052,-73.970375,1
2023/03/30 00:00:00.000,40.798935,-73.954094,1
2023/03/30 00:00:00.000,40.749786,-73.98778,1
