crash_date,latitude,longitude,num_of_ped_injured
2023/01/22 00:00:00.000,40.705772,-74.00887,1
2023/01/23 00:00:00.000,40.773033,-73.9822,1
2023/01/23 00:00:00.000,40.725876,-73.97754,1
2023/01/23 00:00:00.000,40.806705,-73.952866,1
2023/01/23 00:00:00.000,40.814102,-73.940865,1
2023/01/23 00:00:00.000,40.736885,-73.978546,1
2023/01/24 00:00:00.000,40.709522,-74.00167,1
2023/01/24 00:00:00.000,40.749157,-73.9727,1
2023/01/24 00:00:00.000,40.751698,-73.97669,1
2023/01/24 00:00:00.000,40.80202,-73.94969,1
2023/01/25 00:00:00.000,40.769905,-73.98057,1
2023/01/25 00:00:00.000,40.747295,-73.97405,1
2023/01/25 00:00:00.000,40.71277,-73.98849,1
2023/01/25 00:00:00.000,40.80202,-73.94969,1
2023/01/25 00:00:00.000,40.73359,-74.00735,1
2023/01/25 00:00:00.000,40.73755,-74.00649,1
2023/01/25 00:00:00.000,40.806408,-73.94016,1
2023/01/25 00:00:00.000,40.799286,-73.945366,1
2023/01/25 00:00:00.000,40.71207,-73.996956,1
2023/01/25 00:00:00.000,40.741642,-73.97817,1
2023/01/26 00:00:00.000,40.79084,-73.97457,1
2023/01/26 00:00:00.000,40.730614,-73.98078,1
2023/01/26 00:00:00.000,40.74026,-73.990524,1
2023/01/26 00:00:00.000,40.716812,-73.99777,1
2023/01/26 00:00:00.000,0,0,1
2023/01/26 00:00:00.000,40.748245,-73.976295,1
2023/01/26 00:00:00.000,40.76661,-73.965,1
2023/01/26 00:00:00.000,40.760155,-73.9988,1
2023/01/27 00:00:00.000,40.80435,-73.95732,1
2023/01/28 00:00:00.000,40.732647,-74.00122,1
2023/01/28 00:00:00.000,40.731705,-74.00096,1
2023/01/28 00:00:00.000,40.713787,-73.98512,1
2023/01/28 00:00:00.000,40.75268,-74.002495,1
2023/01/28 00:00:00.000,40.785095,-73.97691,1
2023/01/28 00:00:00.000,40.86131,-73.92124,1
2023/01/30 00:00:00.000,40.810093,-73.95309,1
2023/01/30 00:00:00.000,40.83482,-73.9406,1
2023/01/30 00:00:00.000,40.72891,-74.000694,1
2023/01/30 00:00:00.000,40.757908,-73.9893,1
2023/01/30 00:00:00.000,40.758053,-73.98921,1
2023/01/31 00:00:00.000,40.76656,-73.99043,1
2023/01/31 00:00:00.000,40.719593,-73.986755,1
2023/01/31 00:00:00.000,40.833096,-73.94066,1
2023/01/31 00:00:00.000,40.748093,-73.99351,1
2023/01/31 00:00:00.000,40.801495,-73.9344,1
2023/02/01 00:00:00.000,40.79748,-73.94879,1
2023/02/01 00:00:00.000,40.74985,-73.987946,1
2023/02/01 00:00:00.000,40.716457,-74.002335,1
2023/02/01 00:00:00.000,40.73174,-73.99147,1
2023/02/01 00:00:00.000,40.799442,-73.95245,1
2023/02/01 00:00:00.000,40.711895,-73.99958,1
2023/02/02 00:00:00.000,40.787045,-73.97759,1
2023/02/02 00:00:00.000,40.70697,-74.00189,1
2023/02/02 00:00:00.000,40.76228,-73.99356,1
2023/02/03 00:00:00.000,40.748604,-73.97811,1
2023/02/03 00:00:00.000,40.803627,-73.963394,1
2023/02/03 00:00:00.000,40.807095,-73.945984,1
2023/02/03 00:00:00.000,40.732903,-73.986244,1
2023/02/03 00:00:00.000,40.802444,-73.938835,1
2023/02/04 00:00:00.000,40.7509,-73.99812,1
2023/02/04 00:00:00.000,40.718395,-73.9978,1
2023/02/05 00:00:00.000,40.802338,-73.95042,1
2023/02/05 00:00:00.000,40.732426,-74.00651,1
2023/02/05 00:00:00.000,0,0,1
2023/02/06 00:00:00.000,40.759884,-73.98788,1
2023/02/06 00:00:00.000,40.845703,-73.93316,1
2023/02/06 00:00:00.000,40.751793,-73.97688,1
2023/02/08 00:00:00.000,40.71431,-73.987175,1
2023/02/08 00:00:00.000,40.779922,-73.98068,1
2023/02/08 00:00:00.000,40.802444,-73.938835,1
2023/02/08 00:00:00.000,40.801865,-73.94136,1
2023/02/08 00:00:00.000,40.81339,-73.95627,1
2023/02/08 00:00:00.000,40.70623,-74.00317,1
2023/02/08 00:00:00.000,40.72247,-73.987144,1
2023/02/08 00:00:00.000,40.7795,-73.981636,1
2023/02/08 00:00:00.000,40.749725,-73.98363,1
2023/02/08 00:00:00.000,40.741356,-73.989136,1
