crash_date,latitude,longitude,num_of_cyclist_killed
2023/03/17 00:00:00.000,40.838497,-73.939835,1
2023/06/16 00:00:00.000,40.73321,-73.981064,1
2023/09/16 00:00:00.000,40.751892,-73.9676,1
