crash_date,latitude,longitude,num_of_persons_injured
2023/01/16 00:00:00,40.777905,-73.98209,"3"
2023/01/16 00:00:00,40.80822,-73.9545,"1"
2023/01/16 00:00:00,40.77564,-73.96052,"1"
2023/01/16 00:00:00,40.762177,-73.96613,"3"
2023/01/16 00:00:00,40.842438,-73.93926,"1"
2023/01/16 00:00:00,40.867012,-73.92312,"1"
2023/01/17 00:00:00,40.782753,-73.94818,"1"
2023/01/17 00:00:00,40.768482,-73.95975,"1"
2023/01/17 00:00:00,40.773598,-73.9578,"1"
2023/01/18 00:00:00,40.810856,-73.939026,"1"
2023/01/18 00:00:00,40.76468,-73.9643,"1"
2023/01/18 00:00:00,40.792362,-73.96418,"1"
2023/01/18 00:00:00,40.788685,-73.94386,"1"
2023/01/18 00:00:00,40.79162,-73.94885,"1"
2023/01/18 00:00:00,40.814556,-73.96249,"1"
2023/01/18 00:00:00,40.76661,-73.965,"1"
2023/01/18 00:00:00,40.786938,-73.979294,"1"
2023/01/18 00:00:00,40.787693,-73.94148,"1"
2023/01/18 00:00:00,40.762676,-73.954346,"2"
2023/01/18 00:00:00,40.807713,-73.94132,"1"
2023/01/18 00:00:00,40.821796,-73.958336,"1"
2023/01/18 00:00:00,40.8468,-73.931854,"1"
2023/01/19 00:00:00,40.838425,-73.941696,"1"
2023/01/19 00:00:00,40.84787,-73.93641,"1"
2023/01/19 00:00:00,40.846153,-73.932335,"1"
2023/01/19 00:00:00,40.793816,-73.94012,"1"
2023/01/19 00:00:00,40.77012,-73.95741,"1"
2023/01/19 00:00:00,40.801155,-73.959656,"1"
2023/01/19 00:00:00,40.793377,-73.97086,"1"
2023/01/19 00:00:00,40.783146,-73.97833,"1"
2023/01/19 00:00:00,40.80897,-73.94833,"1"
2023/01/19 00:00:00,40.77656,-73.95271,"1"
2023/01/19 00:00:00,40.8076,-73.93719,"1"
2023/01/19 00:00:00,40.821636,-73.93909,"1"
2023/01/19 00:00:00,40.79737,-73.97222,"1"
2023/01/19 00:00:00,40.808445,-73.945,"1"
2023/01/19 00:00:00,40.865795,-73.920006,"1"
2023/01/19 00:00:00,40.828983,-73.93897,"1"
2023/01/20 00:00:00,40.835358,-73.94022,"1"
2023/01/20 00:00:00,40.841152,-73.942696,"1"
2023/01/20 00:00:00,40.832695,-73.94078,"1"
2023/01/20 00:00:00,40.776016,-73.98724,"1"
2023/01/20 00:00:00,40.80785,-73.945694,"3"
2023/01/20 00:00:00,40.835808,-73.949455,"1"
2023/01/20 00:00:00,40.848118,-73.93089,"1"
2023/01/20 00:00:00,40.79944,-73.975006,"1"
2023/01/21 00:00:00,40.804012,-73.93097,"1"
2023/01/21 00:00:00,40.822643,-73.953224,"1"
2023/01/21 00:00:00,40.820877,-73.94517,"1"
2023/01/21 00:00:00,40.86573,-73.9275,"1"
2023/01/22 00:00:00,40.825222,-73.955444,"2"
2023/01/22 00:00:00,40.810543,-73.93831,"2"
2023/01/22 00:00:00,40.824562,-73.948105,"1"
2023/01/22 00:00:00,40.77656,-73.95271,"1"
2023/01/22 00:00:00,40.84572,-73.936356,"1"
2023/01/22 00:00:00,40.839176,-73.94114,"4"
2023/01/22 00:00:00,40.86369,-73.91707,"2"
2023/01/23 00:00:00,40.819572,-73.95175,"3"
2023/01/23 00:00:00,40.773033,-73.9822,"1"
2023/01/23 00:00:00,40.806705,-73.952866,"1"
2023/01/23 00:00:00,40.827633,-73.93577,"1"
2023/01/23 00:00:00,40.814102,-73.940865,"1"
2023/01/23 00:00:00,40.76635,-73.95103,"4"
2023/01/23 00:00:00,40.85051,-73.93105,"1"
2023/01/24 00:00:00,40.76817,-73.9528,"1"
2023/01/24 00:00:00,40.865475,-73.933235,"1"
2023/01/24 00:00:00,40.790417,-73.95184,"1"
2023/01/24 00:00:00,40.81909,-73.94093,"1"
2023/01/24 00:00:00,40.80202,-73.94969,"1"
2023/01/25 00:00:00,40.769905,-73.98057,"1"
2023/01/25 00:00:00,40.772797,-73.9822,"1"
2023/01/25 00:00:00,40.80202,-73.94969,"1"
2023/01/25 00:00:00,40.81694,-73.95366,"1"
2023/01/25 00:00:00,40.811565,-73.942726,"2"
2023/01/25 00:00:00,40.806408,-73.94016,"1"
2023/01/25 00:00:00,40.81098,-73.953094,"1"
2023/01/25 00:00:00,40.799286,-73.945366,"1"
2023/01/25 00:00:00,40.774227,-73.98112,"1"
2023/01/25 00:00:00,40.80333,-73.94873,"1"
2023/01/25 00:00:00,40.85787,-73.93842,"1"
2023/01/25 00:00:00,40.778862,-73.958176,"1"
2023/01/26 00:00:00,40.79084,-73.97457,"1"
2023/01/26 00:00:00,40.829163,-73.93727,"1"
2023/01/26 00:00:00,40.809692,-73.94409,"1"
2023/01/26 00:00:00,40.80822,-73.93673,"1"
