crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_,off_street,cross_stre,number_of_,number_o_1,number_o_2,number_o_3,number_o_4,number_o_5,number_o_6,number_o_7,contributi,contribu_1,contribu_2,contribu_3,contribu_4,collision_,vehicle_ty,vehicle__1,vehicle__2,vehicle__3,vehicle__4
2023/01/02 00:00:00.000,15:32:00.000,MANHATTAN,"10029",40.791504000000003,-73.940579999999997,"
,  
(40.791504, -73.94058)",NA,NA,334       EAST 108 STREET,"0","0","0","0","0","0","0","0",Other Vehicular,NA,NA,NA,NA,"4596474",Station Wagon/Sport Utility Vehicle,NA,NA,NA,NA
2023/01/02 00:00:00.000,21:08:00.000,MANHATTAN,"10029",40.797609999999999,-73.939210000000003,"
,  
(40.79761, -73.93921)",NA,NA,231       EAST 116 STREET,"1","0","0","0","0","0","1","0",Reaction to Uninvolved Vehicle,Pavement Slippery,NA,NA,NA,"4596378",Station Wagon/Sport Utility Vehicle,Moped,NA,NA,NA
2023/01/02 00:00:00.000,10:15:00.000,MANHATTAN,"10029",40.800120000000000,-73.946849999999998,"
,  
(40.80012, -73.94685)",NA,NA,1403      5 AVENUE,"0","0","0","0","0","0","0","0",Unsafe Speed,Unspecified,Unspecified,NA,NA,"4596368",Sedan,Taxi,Sedan,NA,NA
2023/01/02 00:00:00.000,14:30:00.000,MANHATTAN,"10029",40.799087999999998,-73.943410000000000,"
,  
(40.799088, -73.94341)",NA,NA,1634      PARK AVENUE,"0","0","0","0","0","0","0","0",Backing Unsafely,Unspecified,NA,NA,NA,"4596367",Box Truck,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2023/01/02 00:00:00.000,03:20:00.000,MANHATTAN,"10035",40.801000000000002,-73.945179999999993,"
,  
(40.801, -73.94518)",NA,NA,4         EAST 117 STREET,"0","0","0","0","0","0","0","0",Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,NA,"4596373",Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,NA
2023/01/02 00:00:00.000,20:59:00.000,NA,NA,40.867012000000003,-73.923119999999997,"
,  
(40.867012, -73.92312)",BROADWAY,NA,NA,"21","0","19","0","0","0","2","0",Unsafe Speed,Unspecified,NA,NA,NA,"4596684",Station Wagon/Sport Utility Vehicle,NA,NA,NA,NA
2023/01/02 00:00:00.000,15:00:00.000,MANHATTAN,"10033",40.849285000000002,-73.938940000000002,"
,  
(40.849285, -73.93894)",FORT WASHINGTON AVENUE,WEST 179 STREET,NA,"0","0","0","0","0","0","0","0",Driver Inattention/Distraction,Unspecified,NA,NA,NA,"4597031",Taxi,Sedan,NA,NA,NA
2023/01/02 00:00:00.000,20:25:00.000,MANHATTAN,"10040",40.858561999999999,-73.931669999999997,"
,  
(40.858562, -73.93167)",NA,NA,4520      BROADWAY,"1","0","0","0","0","0","0","0",Turning Improperly,Unspecified,NA,NA,NA,"4597042",E-Bike,Sedan,NA,NA,NA
2023/01/02 00:00:00.000,17:40:00.000,MANHATTAN,"10033",40.854168000000001,-73.933710000000005,"
,  
(40.854168, -73.93371)",WEST 187 STREET,BROADWAY,NA,"0","0","0","0","0","0","0","0",Unspecified,Unspecified,NA,NA,NA,"4597041",Sedan,Moped,NA,NA,NA
2023/01/02 00:00:00.000,19:21:00.000,MANHATTAN,"10040",40.861590000000000,-73.924750000000003,"
,  
(40.86159, -73.92475)",NAGLE AVENUE,DYCKMAN STREET,NA,"1","0","0","0","0","0","1","0",Driver Inattention/Distraction,Unspecified,NA,NA,NA,"4597049",Station Wagon/Sport Utility Vehicle,Taxi,NA,NA,NA
2023/01/02 00:00:00.000,22:40:00.000,NA,NA,40.710599999999999,-73.984690000000001,"
,  
(40.7106, -73.98469)",FDR DRIVE,NA,NA,"1","0","0","0","0","0","1","0",Driver Inattention/Distraction,Unspecified,Unspecified,NA,NA,"4597213",PK,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,NA,NA
2023/01/02 00:00:00.000,11:00:00.000,NA,NA,40.848937999999997,-73.937079999999995,"
,  
(40.848938, -73.93708)",WEST 179 STREET,NA,NA,"0","0","0","0","0","0","0","0",Backing Unsafely,NA,NA,NA,NA,"4597234",Sedan,NA,NA,NA,NA
2023/01/02 00:00:00.000,18:20:00.000,MANHATTAN,"10037",40.817189999999997,-73.934460000000001,"
,  
(40.81719, -73.93446)",WEST 142 STREET,5 AVENUE,NA,"0","0","0","0","0","0","0","0",Driver Inattention/Distraction,NA,NA,NA,NA,"4597522",Station Wagon/Sport Utility Vehicle,NA,NA,NA,NA
2023/01/02 00:00:00.000,21:58:00.000,MANHATTAN,"10030",40.819893000000000,-73.946724000000003,"
,  
(40.819893, -73.946724)",SAINT NICHOLAS AVENUE,WEST 139 STREET,NA,"1","0","0","0","1","0","0","0",Other Vehicular,Failure to Yield Right-of-Way,NA,NA,NA,"4598873",Sedan,Bike,NA,NA,NA
2023/01/02 00:00:00.000,20:00:00.000,NA,NA,40.820568000000002,-73.959305000000001,"
,  
(40.820568, -73.959305)",HENRY HUDSON PARKWAY,NA,NA,"0","0","0","0","0","0","0","0",Unsafe Speed,NA,NA,NA,NA,"4603567",Station Wagon/Sport Utility Vehicle,NA,NA,NA,NA
2023/01/03 00:00:00.000,03:16:00.000,NA,NA,40.736927000000001,-74.005859999999998,"
,  
(40.736927, -74.00586)",HUDSON STREET,NA,NA,"0","0","0","0","0","0","0","0",Brakes Defective,NA,NA,NA,NA,"4594916",Station Wagon/Sport Utility Vehicle,NA,NA,NA,NA
