crash_date,latitude,longitude,num_of_motorist_injured
2023/01/20 00:00:00.000,40.832695,-73.94078,1
2023/01/20 00:00:00.000,40.747337,-73.98117,2
2023/01/20 00:00:00.000,40.74094,-74.007484,1
2023/01/20 00:00:00.000,40.80785,-73.945694,3
2023/01/20 00:00:00.000,40.835808,-73.949455,1
2023/01/20 00:00:00.000,40.848118,-73.93089,1
2023/01/20 00:00:00.000,40.79944,-73.975006,1
2023/01/21 00:00:00.000,40.75758,-73.975815,1
2023/01/21 00:00:00.000,40.804012,-73.93097,1
2023/01/21 00:00:00.000,40.720436,-74.00671,1
2023/01/21 00:00:00.000,40.711304,-73.98392,1
2023/01/21 00:00:00.000,40.718834,-74.00112,1
2023/01/21 00:00:00.000,40.71913,-73.976364,2
2023/01/22 00:00:00.000,40.762024,-74.00116,1
2023/01/22 00:00:00.000,40.71941,-73.989586,2
2023/01/22 00:00:00.000,40.825222,-73.955444,2
2023/01/22 00:00:00.000,40.810543,-73.93831,2
2023/01/22 00:00:00.000,40.824562,-73.948105,1
2023/01/22 00:00:00.000,40.839176,-73.94114,4
2023/01/22 00:00:00.000,40.86369,-73.91707,2
2023/01/22 00:00:00.000,40.72926,-73.97765,1
2023/01/23 00:00:00.000,40.819572,-73.95175,3
2023/01/23 00:00:00.000,40.827633,-73.93577,1
2023/01/23 00:00:00.000,0,0,1
2023/01/23 00:00:00.000,40.76635,-73.95103,4
2023/01/23 00:00:00.000,40.85051,-73.93105,1
2023/01/23 00:00:00.000,40.741642,-73.997444,1
2023/01/24 00:00:00.000,40.76817,-73.9528,1
2023/01/24 00:00:00.000,40.865475000000004,-73.933235,1
2023/01/24 00:00:00.000,40.790417,-73.95184,1
2023/01/24 00:00:00.000,40.74277,-73.9866,1
2023/01/24 00:00:00.000,40.81909,-73.94093,1
2023/01/24 00:00:00.000,40.742283,-74.004425,1
2023/01/25 00:00:00.000,40.724136,-73.992615,1
2023/01/25 00:00:00.000,40.710815,-73.98326,3
2023/01/25 00:00:00.000,40.81694,-73.95366,1
2023/01/25 00:00:00.000,40.811565,-73.942726,2
2023/01/25 00:00:00.000,0,0,1
2023/01/25 00:00:00.000,40.81098,-73.953094,1
2023/01/25 00:00:00.000,40.85787,-73.93842,1
2023/01/25 00:00:00.000,40.778862,-73.958176,1
2023/01/26 00:00:00.000,40.829163,-73.93727,1
2023/01/26 00:00:00.000,40.809692,-73.94409,1
2023/01/26 00:00:00.000,40.768154,-73.992966,1
2023/01/26 00:00:00.000,40.762894,-73.98369,1
2023/01/26 00:00:00.000,40.80822,-73.93673,1
